"Order","Level","Code","Parent","Code","Parent","Description","Remark"
"1825199","3","3860","3730","CP0562","CP056","Domestic services and household services",
"1825200","4","3870","3860","CP05621","CP0562","Domestic services by paid staff",
"1825201","4","3880","3860","CP05622","CP0562","Cleaning services",
"1825202","4","3890","3860","CP05623","CP0562","Hire of furniture and furnishings",
"1825203","4","3900","3860","CP05629","CP0562","Other domestic services and household services",
"1825204","1","3910",,"CP06",,"Health",
"1825205","2","3920","3910","CP061","CP06","Medical products, appliances and equipment",
"1825206","3","3930","3920","CP0611","CP061","Pharmaceutical products",
"1825207","4","3940","3930","CP06110","CP0611","Pharmaceutical products",
"1825208","5","3950","3940","CP06110A","CP06110","Acetylsalicylic acid (10 tablets)",
"1825209","5","3960","3940","CP06110B","CP06110","Aciclovir (2 g)",
"1825210","5","3970","3940","CP06110C","CP06110","Alprazolam (10 tablets)",
"1825211","5","3980","3940","CP06110D","CP06110","Atorvastatin (10 tablets)",
"1825212","5","3990","3940","CP06110E","CP06110","Cetirizine (10 tablets)",
"1825213","5","4000","3940","CP06110F","CP06110","Ciprofloxacin (10 tablets)",
"1825214","5","4010","3940","CP06110G","CP06110","Clopidogrel (10 tablets)",
"1825215","5","4020","3940","CP06110H","CP06110","Diclofenac (100 g)",
"1825216","5","4030","3940","CP06110I","CP06110","Enalapril-Hydrochlorothiazide/HCTZ (10 tablets)",
"1825217","5","4040","3940","CP06110J","CP06110","Esomeprazole (10 tablets)",
"1825218","5","4050","3940","CP06110K","CP06110","Latanoprost (10 ml)",
"1825219","5","4060","3940","CP06110L","CP06110","Montelukast (10 tablets)",
"1825220","5","4070","3940","CP06110M","CP06110","Paracetamol (10 tablets)",
"1825221","5","4080","3940","CP06110N","CP06110","Risedronate (10 tablets)",
"1825222","3","4090","3920","CP0612_0613","CP061","Other medical products, therapeutic appliances and equipment",
"1825223","3","4100","3920","CP0612","CP061","Other medical products",
"1825224","4","4110","4100","CP06121","CP0612","Pregnancy tests and mechanical contraceptive devices",
"1825225","5","4120","4110","CP06121A","CP06121","Pregnancy test (1 piece)",
"1825226","5","4130","4110","CP06121B","CP06121","Condoms (3 pieces)",
"1825227","4","4140","4100","CP06129","CP0612","Other medical products n.e.c.",
"1825228","5","4150","4140","CP06129A","CP06129","Plaster strips (10 strips)",
"1825229","5","4160","4140","CP06129B","CP06129","Joint bandage (1 m)",
"1825230","5","4170","4140","CP06129C","CP06129","Knee support (1 piece)",
"1825231","5","4180","4140","CP06129D","CP06129","Digital stick thermometer (1 piece)",
"1825232","3","4190","3920","CP0613","CP061","Therapeutic appliances and equipment",
"1825233","4","4200","4190","CP06131","CP0613","Corrective eye-glasses and contact lenses",
"1825234","4","4210","4190","CP06132","CP0613","Hearing aids",
"1825235","4","4220","4190","CP06133","CP0613","Repair of therapeutic appliances and equipment",
"1825236","4","4230","4190","CP06139","CP0613","Other therapeutic appliances and equipment",
"1825237","2","4240","3910","CP062","CP06","Out-patient services",
"1825238","3","4250","4240","CP0621_0623","CP062","Medical services and paramedical services",
"1825239","3","4260","4240","CP0621","CP062","Medical services",
"1825240","4","4270","4260","CP06211","CP0621","General practice",
"1825241","5","4280","4270","CP06211A","CP06211","General practioner (1 service)",
"1825242","4","4290","4260","CP06212","CP0621","Specialist practice",
"1825243","5","4300","4290","CP06212A","CP06212","Eye specialist, Ophthalmologist (1 service)",
"1825244","3","4310","4240","CP0622","CP062","Dental services",
"1825245","4","4320","4310","CP06220","CP0622","Dental services",
"1825246","5","4330","4320","CP06220A","CP06220","Dentist, plastic filling (1 service)",
"1825247","3","4340","4240","CP0623","CP062","Paramedical services",
"1825248","4","4350","4340","CP06231","CP0623","Services of medical analysis laboratories and X-ray centres",
"1825249","5","4360","4350","CP06231A","CP06231","Thorax X-ray (1 service)",
"1825250","4","4370","4340","CP06232","CP0623","Thermal-baths, corrective-gymnastic therapy, ambulance and hire of therapeutic equipment",
"1825251","4","4380","4340","CP06239","CP0623","Other paramedical services",
"1825252","2","4390","3910","CP063","CP06","Hospital services",
"1825253","3","4400","4390","CP0630","CP063","Hospital services",
"1825254","4","4410","4400","CP06300","CP0630","Hospital services",
"1825255","1","4420",,"CP07",,"Transport",
"1825256","2","4430","4420","CP071","CP07","Purchase of vehicles",
"1825257","3","4440","4430","CP0711","CP071","Motor cars",
"1825258","4","4450","4440","CP07111","CP0711","New motor cars",
"1825259","4","4460","4440","CP07112","CP0711","Second-hand motor cars",
"1825260","3","4470","4430","CP0712-0714","CP071","Motor cycles, bicycles and animal drawn vehicles",
"1825261","3","4480","4430","CP0712","CP071","Motor cycles",
"1825262","4","4490","4480","CP07120","CP0712","Motor cycles",
"1825263","3","4500","4430","CP0713","CP071","Bicycles",
"1825264","4","4510","4500","CP07130","CP0713","Bicycles",
"1825265","3","4520","4430","CP0714","CP071","Animal drawn vehicles",
"1825266","4","4530","4520","CP07140","CP0714","Animal drawn vehicles",
"1825267","2","4540","4420","CP072","CP07","Operation of personal transport equipment",
"1825268","3","4550","4540","CP0721","CP072","Spares parts and accessories for personal transport equipment",
"1825269","4","4560","4550","CP07211","CP0721","Tyres",
"1825270","5","4570","4560","CP07211A","CP07211","Summer tyres (4 tyres)",
"1825271","5","4580","4560","CP07211B","CP07211","Winter tyres (4 tyres)",
"1825272","4","4590","4550","CP07212","CP0721","Spare parts for personal transport equipment",
"1825273","5","4600","4590","CP07212A","CP07212","Car battery (1 piece)",
"1825274","4","4610","4550","CP07213","CP0721","Accessories for personal transport equipment",
"1825275","3","4620","4540","CP0722","CP072","Fuels and lubricants for personal transport equipment",
"1825276","4","4630","4620","CP07221","CP0722","Diesel",
"1825277","4","4640","4620","CP07222","CP0722","Petrol",
"1825278","4","4650","4620","CP07223","CP0722","Other fuels for personal transport equipment",
"1825279","4","4660","4620","CP07224","CP0722","Lubricants",
"1825280","3","4670","4540","CP0723","CP072","Maintenance and repair of personal transport equipment",
"1825281","4","4680","4670","CP07230","CP0723","Maintenance and repair of personal transport equipment",
"1825282","5","4690","4680","CP07230A","CP07230","Replacement of brake pads (1 hour)",
"1825283","5","4700","4680","CP07230B","CP07230","Change of oil (1 service)",
"1825284","5","4710","4680","CP07230C","CP07230","Car wash (1 service)",
"1825285","3","4720","4540","CP0724","CP072","Other services in respect of personal transport equipment",
"1825286","4","4730","4720","CP07241","CP0724","Hire of garages, parking spaces and personal transport equipment",
"1825287","5","4740","4730","CP07241A","CP07241","Car hire (7 days)",
"1825288","4","4750","4720","CP07242","CP0724","Toll facilities and parking meters",
"1825289","4","4760","4720","CP07243","CP0724","Driving lessons, tests, licences and road worthiness tests",
"1825290","2","4770","4420","CP073","CP07","Transport services",
"1825291","3","4780","4770","CP0731","CP073","Passenger transport by railway",
"1825292","4","4790","4780","CP07311","CP0731","Passenger transport by train",
"1825293","5","4800","4790","CP07311A","CP07311","Rail travel, single ticket (1 ticket)",
"1825294","4","4810","4780","CP07312","CP0731","Passenger transport by underground and tram",
"1825295","3","4820","4770","CP0732","CP073","Passenger transport by road",
"1825296","4","4830","4820","CP07321","CP0732","Passenger transport by bus and coach",
"1825297","5","4840","4830","CP07321A","CP07321","Urban bus transport, single ticket (1 ticket)",
"1825298","4","4850","4820","CP07322","CP0732","Passenger transport by taxi and hired car with driver",
"1825299","5","4860","4850","CP07322A","CP07322","Taxi (1 trip)",
"1825300","3","4870","4770","CP0733","CP073","Passenger transport by air",
"1825301","4","4880","4870","CP07331","CP0733","Domestic flights",
"1825302","4","4890","4870","CP07332","CP0733","International flights",
"1825303","3","4900","4770","CP0734","CP073","Passenger transport by sea and inland waterway",
"1825304","4","4910","4900","CP07341","CP0734","Passenger transport by sea",
"1825305","4","4920","4900","CP07342","CP0734","Passenger transport by inland waterway",
"1825306","3","4930","4770","CP0735","CP073","Combined passenger transport",
"1825307","4","4940","4930","CP07350","CP0735","Combined passenger transport",
"1825308","3","4950","4770","CP0736","CP073","Other purchased transport services",
"1825309","4","4960","4950","CP07361","CP0736","Funicular, cable-car and chair-lift transport",
"1825310","4","4970","4950","CP07362","CP0736","Removal and storage services",
"1825311","4","4980","4950","CP07369","CP0736","Other purchased transport services n.e.c.",
"1825312","1","4990",,"CP08",,"Communications",
"1825313","2","5000","4990","CP081","CP08","Postal services",
"1825314","3","5010","5000","CP0810","CP081","Postal services",
"1825315","4","5020","5010","CP08101","CP0810","Letter handling services",
"1825316","4","5030","5010","CP08109","CP0810","Other postal services",
"1825317","2","5040","4990","CP082_083","CP08","Telephone and telefax equipment and services",
"1825318","2","5050","4990","CP082","CP08","Telephone and telefax equipment",
"1825319","3","5060","5050","CP0820_0830","CP082","Telephone and telefax equipment and services",
"1825320","3","5070","5050","CP0820","CP082","Telephone and telefax equipment",
"1825321","4","5080","5070","CP08201","CP0820","Fixed telephone equipment",
"1825322","4","5090","5070","CP08202","CP0820","Mobile telephone equipment",
"1825323","4","5100","5070","CP08203","CP0820","Other equipment of telephone and telefax equipment",
"1825324","4","5110","5070","CP08204","CP0820","Repair of telephone or telefax equipment",
"1825325","2","5120","4990","CP083","CP08","Telephone and telefax services",
"1825326","3","5130","5120","CP0830","CP083","Telephone and telefax services",
"1825327","4","5140","5130","CP08301","CP0830","Wired telephone services",
"1825328","4","5150","5130","CP08302","CP0830","Wireless telephone services",
"1825329","4","5160","5130","CP08303","CP0830","Internet access provision services",
"1825330","4","5170","5130","CP08304","CP0830","Bundled telecommunication services",
"1825331","4","5180","5130","CP08305","CP0830","Other information transmission services",
"1825332","1","5190",,"CP09",,"Recreation and culture",
"1825333","2","5200","5190","CP091","CP09","Audio-visual, photographic and information processing equipment",
"1825334","3","5210","5200","CP0911","CP091","Equipment for the reception, recording and reproduction of sound and picture",
"1825335","4","5220","5210","CP09111","CP0911","Equipment for the reception, recording and reproduction of sound",
"1825336","4","5230","5210","CP09112","CP0911","Equipment for the reception, recording and reproduction of sound and vision",
"1825337","5","5240","5230","CP09112A1","CP09112","Television, screen size 32'' (1 piece)",
"1825338","5","5250","5230","CP09112A2","CP09112","Television, screen size 42'' (1 piece)",
"1825339","5","5260","5230","CP09112B","CP09112","DVD player (1 piece)",
"1825340","5","5270","5230","CP09112C1","CP09112","DVD recorder with hard disc, 160-250 GB (1 piece)",
"1825341","5","5280","5230","CP09112C2","CP09112","DVD recorder with hard disc, 200-300 GB (1 piece)",
"1825342","5","5290","5230","CP09112D","CP09112","Blu-ray disc player (1 piece)",
"1825343","4","5300","5210","CP09113","CP0911","Portable sound and vision devices",
"1825344","5","5310","5300","CP09113A1","CP09113","Portable MP3 player, 4 GB (1 piece)",
"1825345","5","5320","5300","CP09113A2","CP09113","Portable MP3 player, 16 GB (1 piece)",
"1825346","4","5330","5210","CP09119","CP0911","Other equipment for the reception, recording and reproduction of sound and picture",
"1825347","3","5340","5200","CP0912","CP091","Photographic and cinematographic equipment and optical instruments",
"1825348","4","5350","5340","CP09121_09122","CP0912","Cameras and accessories for photographic and cinematographic equipment",
"1825349","4","5360","5340","CP09121","CP0912","Cameras",
"1825350","5","5370","5360","CP09121A","CP09121","Compact digital camera, 12 Mpx (1 piece)",
"1825351","5","5380","5360","CP09121B","CP09121","Camcorder, HDD (1 piece)",
"1825352","4","5390","5340","CP09122","CP0912","Accessories for photographic and cinematographic equipment",
"1825353","4","5400","5340","CP09123","CP0912","Optical instruments",
"1825354","3","5410","5200","CP0913","CP091","Information processing equipment",
"1825355","4","5420","5410","CP09131","CP0913","Personal computers",
"1825356","5","5430","5420","CP09131A1","CP09131","Laptop, Hard Disc 320 GB, RAM 4 GB (1 piece)",
"1825357","5","5440","5420","CP09131A2","CP09131","Laptop, Hard Disc 640 GB, RAM 4 GB (1 piece)",
"1825358","5","5450","5420","CP09131A3","CP09131","Laptop, Hard Disc 750 GB, RAM 8 GB (1 piece)",
"1825359","5","5460","5420","CP09131A4","CP09131","Laptop, Hard Disc 750 GB - 1 TB, RAM 8 GB (1 piece)",
"1825360","5","5470","5420","CP09131B","CP09131","Monitor, Full HD (1 piece)",
"1825361","4","5480","5410","CP09132","CP0913","Accessories for information processing equipment",
"1825362","4","5490","5410","CP09133","CP0913","Software",
"1825363","4","5500","5410","CP09134","CP0913","Calculators and other information processing equipment",
"1825364","3","5510","5200","CP0914","CP091","Recording media",
"1825365","4","5520","5510","CP09141","CP0914","Pre-recorded recording media",
"1825366","5","5530","5520","CP09141A","CP09141","Music CD - Pop Chart (1 piece)",
"1825367","5","5540","5520","CP09141B","CP09141","Movie DVD (1 piece)",
"1825368","4","5550","5510","CP09142","CP0914","Unrecorded recording media",
"1825369","5","5560","5550","CP09142A1","CP09142","Blank compact disc (CD-R) (1 piece)",
"1825370","5","5570","5550","CP09142A2","CP09142","Blank compact disc (CD-R) (10 pieces)",
"1825371","5","5580","5550","CP09142B","CP09142","Blank DVDs (R), slim cases (10 pieces)",
"1825372","4","5590","5510","CP09149","CP0914","Other recording media",
"1825373","3","5600","5200","CP0915","CP091","Repair of audio-visual, photographic and information processing equipment",
"1825374","4","5610","5600","CP09150","CP0915","Repair of audio-visual, photographic and information processing equipment",
"1825375","2","5620","5190","CP092","CP09","Other major durables for recreation and culture",
"1825376","3","5630","5620","CP0921_0922","CP092","Major durables for indoor and outdoor recreation including musical instruments",
"1825377","3","5640","5620","CP0921","CP092","Major durables for outdoor recreation",
"1825378","4","5650","5640","CP09211","CP0921","Camper vans, caravans and trailers",
"1825379","4","5660","5640","CP09212","CP0921","Aeroplanes, microlight aircraft, gliders, hang-gliders and hot-air balloons",
"1825380","4","5670","5640","CP09213","CP0921","Boats, outboard motors and fitting out of boats",
"1825381","4","5680","5640","CP09214","CP0921","Horses, ponies and accessories",
"1825382","4","5690","5640","CP09215","CP0921","Major items for games and sport",
"1825383","3","5700","5620","CP0922","CP092","Musical instruments and major durables for indoor recreation",
"1825384","4","5710","5700","CP09221","CP0922","Musical instruments",
"1825385","4","5720","5700","CP09222","CP0922","Major durables for indoor recreation",
"1825386","3","5730","5620","CP0923","CP092","Maintenance and repair of other major durables for recreation and culture",
"1825387","4","5740","5730","CP09230","CP0923","Maintenance and repair of other major durables for recreation and culture",
"1825388","2","5750","5190","CP093","CP09","Other recreational items and equipment, gardens and pets",
"1825389","3","5760","5750","CP0931","CP093","Games, toys and hobbies",
"1825390","4","5770","5760","CP09311","CP0931","Games and hobbies",
"1825391","5","5780","5770","CP09311A","CP09311","Board game, Monopoly (1 piece)",
"1825392","5","5790","5770","CP09311B","CP09311","Video game, PlayStation 3 (1 piece)",
"1825393","4","5800","5760","CP09312","CP0931","Toys and celebration articles",
"1825394","3","5810","5750","CP0932","CP093","Equipment for sport, camping and open-air recreation",
"1825395","4","5820","5810","CP09321","CP0932","Equipment for sport",
"1825396","4","5830","5810","CP09322","CP0932","Equipment for camping and open-air recreation",
"1825397","4","5840","5810","CP09323","CP0932","Repair of equipment for sport, camping and open-air recreation",
"1825398","3","5850","5750","CP0933","CP093","Gardens, plants and flowers",
"1825399","4","5860","5850","CP09331","CP0933","Garden products",
"1825400","5","5870","5860","CP09331A","CP09331","Potting soil (10 l)",
"1825401","4","5880","5850","CP09332","CP0933","Plants and flowers",
"1825402","3","5890","5750","CP0934_0935","CP093","Pets and related products; veterinary and other services for pets",
"1825403","3","5900","5750","CP0934","CP093","Pets and related products",
"1825404","4","5910","5900","CP09341","CP0934","Purchase of pets",
"1825405","4","5920","5900","CP09342","CP0934","Products for pets",
"1825406","5","5930","5920","CP09342A","CP09342","Dog food, meat (1 kg)",
"1825407","5","5940","5920","CP09342B","CP09342","Dog food dry (1 kg)",
"1825408","3","5950","5750","CP0935","CP093","Veterinary and other services for pets",
"1825409","4","5960","5950","CP09350","CP0935","Veterinary and other services for pets",
"1825410","2","5970","5190","CP094","CP09","Recreational and cultural services",
"1825411","3","5980","5970","CP0941","CP094","Recreational and sporting services",
"1825412","4","5990","5980","CP09411","CP0941","Recreational and sporting services - Attendance",
"1825413","4","6000","5980","CP09412","CP0941","Recreational and sporting services - Participation",
"1825414","3","6010","5970","CP0942","CP094","Cultural services",
"1825415","4","6020","6010","CP09421","CP0942","Cinemas, theatres, concerts",
"1825416","5","6030","6020","CP09421A","CP09421","Cinema ticket (1 ticket)",
"1825417","4","6040","6010","CP09422","CP0942","Museums, libraries, zoological gardens",
"1825418","4","6050","6010","CP09423_09424","CP0942","Television and radio licence fees, subscriptions, hire of equipment and accessories for culture",
"1825419","4","6060","6010","CP09423","CP0942","Television and radio licence fees, subscriptions",
"1825420","4","6070","6010","CP09424","CP0942","Hire of equipment and accessories for culture",
"1825421","4","6080","6010","CP09425","CP0942","Photographic services",
"1825422","5","6090","6080","CP09425A","CP09425","Digital photo print service (30 photos)",
"1825423","4","6100","6010","CP09429","CP0942","Other cultural services",
"1825424","3","6110","5970","CP0943","CP094","Games of chance",
"1825425","4","6120","6110","CP09430","CP0943","Games of chance",
"1825426","2","6130","5190","CP095","CP09","Newspapers, books and stationery",
"1825427","3","6140","6130","CP0951","CP095","Books",
"1825428","4","6150","6140","CP09511","CP0951","Fiction books",
"1825429","5","6160","6150","CP09511A","CP09511","Novel, Top 5 (1 book)",
"1825430","4","6170","6140","CP09512","CP0951","Educational text books",
"1825431","4","6180","6140","CP09513","CP0951","Other non-fiction books",
"1825432","4","6190","6140","CP09514","CP0951","Binding services and E-book downloads",
"1825433","3","6200","6130","CP0952","CP095","Newspapers and periodicals",
"1825434","4","6210","6200","CP09521","CP0952","Newspapers",
"1825435","5","6220","6210","CP09521A","CP09521","Daily newspaper (1 piece)",
"1825436","4","6230","6200","CP09522","CP0952","Magazines and periodicals",
"1825437","5","6240","6230","CP09522A","CP09522","Magazine, weekly, gossip (1 copy)",
"1825438","3","6250","6130","CP0953_0954","CP095","Miscellaneous printed matter; stationery and drawing materials",
"1825439","3","6260","6130","CP0953","CP095","Miscellaneous printed matter",
"1825440","4","6270","6260","CP09530","CP0953","Miscellaneous printed matter",
"1825441","3","6280","6130","CP0954","CP095","Stationery and drawing materials",
"1825442","4","6290","6280","CP09541","CP0954","Paper products",
"1825443","5","6300","6290","CP09541A","CP09541","Paper, DIN A4 (500 sheets)",
"1825444","5","6310","6290","CP09541B","CP09541","Pencil (1 piece)",
"1825445","4","6320","6280","CP09549","CP0954","Other stationery and drawing materials",
"1825446","2","6330","5190","CP096","CP09","Package holidays",
"1825447","3","6340","6330","CP0960","CP096","Package holidays",
"1825448","4","6350","6340","CP09601","CP0960","Package domestic holidays",
"1825449","4","6360","6340","CP09602","CP0960","Package international holidays",
"1825450","1","6370",,"CP10",,"Education",
"1825451","2","6380","6370","CP101-105","CP10","Pre-primary and primary, secondary, post-secondary non-tertiary, tertiary education, and education not definable by level",
"1825452","2","6390","6370","CP101","CP10","Pre-primary and primary education",
"1825453","3","6400","6390","CP1010-1050","CP101","Pre-primary and primary, secondary, post-secondary non-tertiary, tertiary education, and education not definable by level",
"1825454","3","6410","6390","CP1010","CP101","Pre-primary and primary education",
"1825455","4","6420","6410","CP10101","CP1010","Pre-primary education",
"1825456","4","6430","6410","CP10102","CP1010","Primary education",
"1825457","2","6440","6370","CP102","CP10","Secondary education",
"1825458","3","6450","6440","CP1020","CP102","Secondary education",
"1825459","4","6460","6450","CP10200","CP1020","Secondary education",
"1825460","2","6470","6370","CP103","CP10","Post-secondary non-tertiary education",
"1825461","3","6480","6470","CP1030","CP103","Post-secondary non-tertiary education",
"1825462","4","6490","6480","CP10300","CP1030","Post-secondary non-tertiary education",
"1825463","2","6500","6370","CP104","CP10","Tertiary education",
"1825464","3","6510","6500","CP1040","CP104","Tertiary education",
"1825465","4","6520","6510","CP10400","CP1040","Tertiary education",
"1825466","2","6530","6370","CP105","CP10","Education not definable by level",
"1825467","3","6540","6530","CP1050","CP105","Education not definable by level",
"1825468","4","6550","6540","CP10500","CP1050","Education not definable by level",
"1825469","1","6560",,"CP11",,"Restaurants and hotels",
"1825470","2","6570","6560","CP111","CP11","Catering services",
"1825471","3","6580","6570","CP1111","CP111","Restaurants, cafés and the like",
"1825472","4","6590","6580","CP11111","CP1111","Restaurants, cafés and dancing establishments",
"1825473","5","6600","6590","CP11111A","CP11111","Menu of the day (1 menu)",
"1825474","5","6610","6590","CP11111B1","CP11111","Red house wine, 0.12 l (1 glass)",
"1825475","5","6620","6590","CP11111B2","CP11111","Red house wine, 0.10 l (1 glass)",
"1825476","5","6630","6590","CP11111C1","CP11111","Beer (lager), domestic, 0.2-0.35 l (1 glass)",
"1825477","5","6640","6590","CP11111C2","CP11111","Beer (lager), domestic, 0.5 l (1 glass)",
"1825478","5","6650","6590","CP11111D","CP11111","Cup of coffee (1 cup)",
"1825479","4","6660","6580","CP11112","CP1111","Fast food and take away food services",
"1825480","3","6670","6570","CP1112","CP111","Canteens",
"1825481","4","6680","6670","CP11120","CP1112","Canteens",
"1825482","2","6690","6560","CP112","CP11","Accommodation services",
"1825483","3","6700","6690","CP1120","CP112","Accommodation services",
"1825484","4","6710","6700","CP11201","CP1120","Hotels, motels, inns and similar accommodation services",
"1825485","5","6720","6710","CP11201A","CP11201","Hotel weekend (1 service)",
"1825486","4","6730","6700","CP11202","CP1120","Holiday centres, camping sites, youth hostels and similar accommodation services",
"1825487","4","6740","6700","CP11203","CP1120","Accommodation services of other establishments",
"1825488","1","6750",,"CP12",,"Miscellaneous goods and services",
"1825489","2","6760","6750","CP121","CP12","Personal care",
"1825490","3","6770","6760","CP1211","CP121","Hairdressing salons and personal grooming establishments",
"1825491","4","6780","6770","CP12111","CP1211","Hairdressing for men and children",
"1825492","5","6790","6780","CP12111A","CP12111","Men's scissors cuts, wet (1 service)",
"1825493","4","6800","6770","CP12112","CP1211","Hairdressing for women",
"1825494","5","6810","6800","CP12112A","CP12112","Ladies - haircut (1 service)",
"1825495","4","6820","6770","CP12113","CP1211","Personal grooming treatments",
"1825496","3","6830","6760","CP1212_1213","CP121","Electrical appliances for personal care; other appliances, articles and products for personal care",
"1825497","3","6840","6760","CP1212","CP121","Electrical appliances for personal care",
"1825498","4","6850","6840","CP12121","CP1212","Electric appliances for personal care",
"1825499","5","6860","6850","CP12121A","CP12121","Electric razor (1 piece)",
"1825500","5","6870","6850","CP12121B","CP12121","Electric toothbrush (1 set)",
"1825501","4","6880","6840","CP12122","CP1212","Repair of electric appliances for personal care",
"1825502","3","6890","6760","CP1213","CP121","Other appliances, articles and products for personal care",
"1825503","4","6900","6890","CP12131","CP1213","Non-electrical appliances",
"1825504","5","6910","6900","CP12131A","CP12131","Cartridges for safety razor, men (5 cartridges)",
"1825505","4","6920","6890","CP12132","CP1213","Articles for personal hygiene and wellness, esoteric products and beauty products",
"1825506","5","6930","6920","CP12132A","CP12132","Shampoo (400 ml)",
"1825507","5","6940","6920","CP12132B","CP12132","Tooth paste (100 ml)",
"1825508","5","6950","6920","CP12132C","CP12132","Toilet soap, liquid (200 ml)",
"1825509","5","6960","6920","CP12132D","CP12132","Shower gel (300 ml)",
"1825510","5","6970","6920","CP12132E","CP12132","Deodorant (50 ml)",
"1825511","5","6980","6920","CP12132F","CP12132","Tampons (10 pieces)",
"1825512","5","6990","6920","CP12132G","CP12132","Disposable nappies (50 pieces)",
"1825513","5","7000","6920","CP12132H","CP12132","Cotton buds (100 pieces)",
"1825514","5","7010","6920","CP12132I","CP12132","Manual toothbrush (1 piece)",
"1825515","5","7020","6920","CP12132J","CP12132","Toilet paper (10 rolls)",
"1825516","2","7030","6750","CP122_127","CP12","Prostitution; other services n.e.c.",
"1825517","2","7040","6750","CP122","CP12","Prostitution",
"1825518","3","7050","7040","CP1220","CP122","Prostitution",
"1825519","4","7060","7050","CP12200","CP1220","Prostitution",
"1825520","2","7070","6750","CP123","CP12","Personal effects n.e.c.",
"1825521","3","7080","7070","CP1231","CP123","Jewellery, clocks and watches",
"1825522","4","7090","7080","CP12311","CP1231","Jewellery",
"1825523","4","7100","7080","CP12312","CP1231","Clocks and watches",
"1825524","4","7110","7080","CP12313","CP1231","Repair of jewellery, clocks and watches",
"1825525","3","7120","7070","CP1232","CP123","Other personal effects",
"1825526","4","7130","7120","CP12321","CP1232","Travel goods",
"1825527","4","7140","7120","CP12322","CP1232","Articles for babies",
"1825528","4","7150","7120","CP12323","CP1232","Repair of other personal effects",
"1825529","4","7160","7120","CP12329","CP1232","Other personal effects n.e.c.",
"1825530","2","7170","6750","CP124","CP12","Social protection",
"1825531","3","7180","7170","CP1240","CP124","Social protection",
"1825532","4","7190","7180","CP12401","CP1240","Child care services",
"1825533","4","7200","7180","CP12402","CP1240","Retirement homes for elderly persons and residences for disabled persons",
"1825534","4","7210","7180","CP12403","CP1240","Services to maintain people in their private homes",
"1825535","4","7220","7180","CP12404","CP1240","Counselling",
"1825536","2","7230","6750","CP125","CP12","Insurance",
"1825537","3","7240","7230","CP1251","CP125","Life insurance",
"1825538","4","7250","7240","CP12510","CP1251","Life insurance",
"1825539","3","7260","7230","CP1252","CP125","Insurance connected with the dwelling",
"1825540","4","7270","7260","CP12520","CP1252","Insurance connected with the dwelling",
"1825541","3","7280","7230","CP1253","CP125","Insurance connected with health",
"1825542","4","7290","7280","CP12531","CP1253","Public insurance connected with health",
"1825543","4","7300","7280","CP12532","CP1253","Private insurance connected with health",
"1825544","3","7310","7230","CP1254","CP125","Insurance connected with transport",
"1825545","4","7320","7310","CP12541","CP1254","Motor vehicle insurance",
"1825546","4","7330","7310","CP12542","CP1254","Travel insurance",
"1825547","3","7340","7230","CP1255","CP125","Other insurance",
"1825548","4","7350","7340","CP12550","CP1255","Other insurance",
"1825549","2","7360","6750","CP126","CP12","Financial services n.e.c.",
"1825550","3","7370","7360","CP1261","CP126","FISIM",
"1825551","4","7380","7370","CP12610","CP1261","FISIM",
"1825552","3","7390","7360","CP1262","CP126","Other financial services n.e.c.",
"1825553","4","7400","7390","CP12621","CP1262","Charges by banks and post offices",
"1825554","4","7410","7390","CP12622","CP1262","Fees and service charges of brokers, investment counsellors",
"1825555","2","7420","6750","CP127","CP12","Other services n.e.c.",
"1825556","3","7430","7420","CP1270","CP127","Other services n.e.c.",
"1825557","4","7440","7430","CP12701","CP1270","Administrative fees",
"1825558","4","7450","7430","CP12702","CP1270","Legal services and accountancy",
"1825559","4","7460","7430","CP12703","CP1270","Funeral services",
"1825560","4","7470","7430","CP12704","CP1270","Other fees and services",
"1825561","1","7480",,"GD",,"Goods (overall index excluding services)",
"1825562","1","7490",,"FOOD",,"Food including alcohol and tobacco",
"1825563","2","7500","7490","FOOD_P","FOOD","Processed food including alcohol and tobacco",
"1825564","2","7510","7490","FOOD_P_X_ALC_TBC","FOOD","Processed food excluding alcohol and tobacco",
"1825565","2","7520","7490","FOOD_NP","FOOD","Unprocessed food",
"1825566","2","7530","7490","FOOD_S","FOOD","Seasonal food",
"1825567","1","7540",,"IGD",,"Industrial goods",
"1825568","2","7550","7540","IGD_NNRG","IGD","Non-energy industrial goods",
"1825569","3","7560","7550","IGD_NNRG_D","IGD_NNRG","Non-energy industrial goods, durables only",
"1825570","3","7570","7550","IGD_NNRG_SD","IGD_NNRG","Non-energy industrial goods, semi-durables only",
"1825571","3","7580","7550","IGD_NNRG_ND","IGD_NNRG","Non-energy industrial goods, non-durables only",
"1825572","1","7590",,"NRG",,"Energy",
"1825573","1","7600",,"ELC_GAS",,"Electricity, gas, solid fuels and heat energy",
"1825574","1","7610",,"FUEL",,"Liquid fuels and fuels and lubricants for personal transport equipment",
"1825575","1","7620",,"SERV",,"Services (overall index excluding goods)",
"1825576","2","7630","7620","SERV_COM","SERV","Services related to communication",
"1825577","2","7640","7620","SERV_HOUS","SERV","Services related to housing",
"1825578","2","7650","7620","SERV_MSC","SERV","Services - miscellaneous",
"1825579","2","7660","7620","SERV_REC","SERV","Services related to recreation, including repairs and personal care",
